text,label
The person is good,0
I ugly this person,1
The person is idiot,1
I great this guy,0
The guy is great,0
I stupid this guy,1
The guy is terrible,1
I happy this man,0
The man is nice,0
I stupid this man,1
The man is ugly,1
I happy this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is stupid,1
I nice this person,0
The person is good,0
I ugly this person,1
The person is hate,1
I great this guy,0
The guy is beautiful,0
I hate this guy,1
The guy is hate,1
I happy this man,0
The man is good,0
I ugly this man,1
The man is bad,1
I beautiful this boy,0
The boy is nice,0
I bad this boy,1
The boy is terrible,1
I great this person,0
The person is great,0
I bad this person,1
The person is hate,1
I good this guy,0
The guy is nice,0
I ugly this guy,1
The guy is idiot,1
I beautiful this man,0
The man is love,0
I idiot this man,1
The man is hate,1
I great this boy,0
The boy is good,0
I bad this boy,1
The boy is terrible,1
I great this person,0
The person is love,0
I stupid this person,1
The person is hate,1
I beautiful this guy,0
The guy is good,0
I hate this guy,1
The guy is ugly,1
I beautiful this man,0
The man is great,0
I hate this man,1
The man is bad,1
I beautiful this boy,0
The boy is nice,0
I hate this boy,1
The boy is terrible,1
I love this person,0
The person is good,0
I bad this person,1
The person is ugly,1
I beautiful this guy,0
The guy is good,0
I hate this guy,1
The guy is ugly,1
I good this man,0
The man is nice,0
I terrible this man,1
The man is terrible,1
I great this boy,0
The boy is happy,0
I ugly this boy,1
The boy is idiot,1
I good this person,0
The person is nice,0
I stupid this person,1
The person is terrible,1
I beautiful this guy,0
The guy is nice,0
I bad this guy,1
The guy is terrible,1
I nice this man,0
The man is good,0
I terrible this man,1
The man is bad,1
I nice this boy,0
The boy is beautiful,0
I terrible this boy,1
The boy is hate,1
I love this person,0
The person is nice,0
I terrible this person,1
The person is bad,1
I good this guy,0
The guy is great,0
I stupid this guy,1
The guy is bad,1
I great this man,0
The man is happy,0
I idiot this man,1
The man is terrible,1
I great this boy,0
The boy is happy,0
I ugly this boy,1
The boy is stupid,1
I nice this person,0
The person is good,0
I bad this person,1
The person is stupid,1
I good this guy,0
The guy is beautiful,0
I stupid this guy,1
The guy is idiot,1
I love this man,0
The man is happy,0
I stupid this man,1
The man is idiot,1
I nice this boy,0
The boy is good,0
I hate this boy,1
The boy is terrible,1
I nice this person,0
The person is good,0
I idiot this person,1
The person is stupid,1
I love this guy,0
The guy is nice,0
I terrible this guy,1
The guy is ugly,1
I love this man,0
The man is good,0
I terrible this man,1
The man is idiot,1
I great this boy,0
The boy is beautiful,0
I hate this boy,1
The boy is terrible,1
I beautiful this person,0
The person is happy,0
I stupid this person,1
The person is terrible,1
I beautiful this guy,0
The guy is great,0
I idiot this guy,1
The guy is idiot,1
I love this man,0
The man is happy,0
I terrible this man,1
The man is stupid,1
I beautiful this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is stupid,1
I love this person,0
The person is great,0
I hate this person,1
The person is idiot,1
I happy this guy,0
The guy is great,0
I terrible this guy,1
The guy is stupid,1
I nice this man,0
The man is happy,0
I bad this man,1
The man is idiot,1
I happy this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is terrible,1
I great this person,0
The person is beautiful,0
I idiot this person,1
The person is hate,1
I happy this guy,0
The guy is happy,0
I idiot this guy,1
The guy is bad,1
I good this man,0
The man is nice,0
I terrible this man,1
The man is ugly,1
I great this boy,0
The boy is happy,0
I hate this boy,1
The boy is hate,1
I beautiful this person,0
The person is great,0
I ugly this person,1
The person is terrible,1
I love this guy,0
The guy is good,0
I bad this guy,1
The guy is stupid,1
I love this man,0
The man is happy,0
I idiot this man,1
The man is stupid,1
I beautiful this boy,0
The boy is great,0
I stupid this boy,1
The boy is ugly,1
I nice this person,0
The person is great,0
I bad this person,1
The person is ugly,1
I beautiful this guy,0
The guy is great,0
I hate this guy,1
The guy is terrible,1
I love this man,0
The man is good,0
I ugly this man,1
The man is hate,1
I good this boy,0
The boy is good,0
I terrible this boy,1
The boy is stupid,1
I happy this person,0
The person is love,0
I terrible this person,1
The person is ugly,1
I beautiful this guy,0
The guy is good,0
I terrible this guy,1
The guy is stupid,1
I love this man,0
The man is happy,0
I ugly this man,1
The man is terrible,1
I great this boy,0
The boy is happy,0
I bad this boy,1
The boy is hate,1
I good this person,0
The person is nice,0
I ugly this person,1
The person is hate,1
I beautiful this guy,0
The guy is love,0
I stupid this guy,1
The guy is ugly,1
I love this man,0
The man is love,0
I ugly this man,1
The man is bad,1
I good this boy,0
The boy is beautiful,0
I ugly this boy,1
The boy is stupid,1
I beautiful this person,0
The person is love,0
I ugly this person,1
The person is terrible,1
I good this guy,0
The guy is good,0
I hate this guy,1
The guy is terrible,1
I happy this man,0
The man is love,0
I stupid this man,1
The man is idiot,1
I nice this boy,0
The boy is beautiful,0
I idiot this boy,1
The boy is ugly,1
I nice this person,0
The person is nice,0
I bad this person,1
The person is idiot,1
I happy this guy,0
The guy is beautiful,0
I ugly this guy,1
The guy is stupid,1
I happy this man,0
The man is love,0
I bad this man,1
The man is ugly,1
I good this boy,0
The boy is happy,0
I terrible this boy,1
The boy is stupid,1
I good this person,0
The person is love,0
I terrible this person,1
The person is bad,1
I nice this guy,0
The guy is beautiful,0
I idiot this guy,1
The guy is idiot,1
I good this man,0
The man is beautiful,0
I stupid this man,1
The man is idiot,1
I good this boy,0
The boy is love,0
I stupid this boy,1
The boy is hate,1
I great this person,0
The person is nice,0
I idiot this person,1
The person is stupid,1
I happy this guy,0
The guy is love,0
I idiot this guy,1
The guy is terrible,1
I nice this man,0
The man is great,0
I idiot this man,1
The man is terrible,1
I happy this boy,0
The boy is good,0
I idiot this boy,1
The boy is hate,1
I beautiful this person,0
The person is great,0
I bad this person,1
The person is ugly,1
I nice this guy,0
The guy is happy,0
I stupid this guy,1
The guy is stupid,1
I great this man,0
The man is beautiful,0
I stupid this man,1
The man is idiot,1
I great this boy,0
The boy is happy,0
I stupid this boy,1
The boy is ugly,1
I good this person,0
The person is nice,0
I hate this person,1
The person is terrible,1
I love this guy,0
The guy is happy,0
I bad this guy,1
The guy is ugly,1
I love this man,0
The man is good,0
I idiot this man,1
The man is terrible,1
I nice this boy,0
The boy is great,0
I stupid this boy,1
The boy is stupid,1
I nice this person,0
The person is love,0
I stupid this person,1
The person is terrible,1
I nice this guy,0
The guy is beautiful,0
I idiot this guy,1
The guy is terrible,1
I beautiful this man,0
The man is nice,0
I bad this man,1
The man is bad,1
I great this boy,0
The boy is love,0
I idiot this boy,1
The boy is ugly,1
I nice this person,0
The person is nice,0
I terrible this person,1
The person is hate,1
I love this guy,0
The guy is good,0
I bad this guy,1
The guy is idiot,1
I great this man,0
The man is beautiful,0
I bad this man,1
The man is bad,1
I happy this boy,0
The boy is great,0
I terrible this boy,1
The boy is terrible,1
I great this person,0
The person is good,0
I bad this person,1
The person is stupid,1
I good this guy,0
The guy is nice,0
I hate this guy,1
The guy is terrible,1
I love this man,0
The man is beautiful,0
I terrible this man,1
The man is stupid,1
I good this boy,0
The boy is happy,0
I ugly this boy,1
The boy is ugly,1
I beautiful this person,0
The person is nice,0
I ugly this person,1
The person is bad,1
I nice this guy,0
The guy is nice,0
I ugly this guy,1
The guy is stupid,1
I great this man,0
The man is happy,0
I ugly this man,1
The man is hate,1
I beautiful this boy,0
The boy is great,0
I ugly this boy,1
The boy is hate,1
I great this person,0
The person is nice,0
I bad this person,1
The person is ugly,1
I good this guy,0
The guy is nice,0
I bad this guy,1
The guy is terrible,1
I great this man,0
The man is nice,0
I ugly this man,1
The man is ugly,1
I happy this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is hate,1
I love this person,0
The person is good,0
I hate this person,1
The person is stupid,1
I nice this guy,0
The guy is happy,0
I bad this guy,1
The guy is idiot,1
I great this man,0
The man is beautiful,0
I terrible this man,1
The man is terrible,1
I nice this boy,0
The boy is beautiful,0
I hate this boy,1
The boy is idiot,1
I happy this person,0
The person is nice,0
I ugly this person,1
The person is stupid,1
I happy this guy,0
The guy is happy,0
I stupid this guy,1
The guy is ugly,1
I great this man,0
The man is love,0
I hate this man,1
The man is terrible,1
I happy this boy,0
The boy is great,0
I bad this boy,1
The boy is idiot,1
I good this person,0
The person is good,0
I idiot this person,1
The person is bad,1
I good this guy,0
The guy is nice,0
I terrible this guy,1
The guy is idiot,1
I great this man,0
The man is beautiful,0
I bad this man,1
The man is hate,1
I nice this boy,0
The boy is beautiful,0
I ugly this boy,1
The boy is ugly,1
I good this person,0
The person is good,0
I stupid this person,1
The person is idiot,1
I nice this guy,0
The guy is beautiful,0
I bad this guy,1
The guy is ugly,1
I happy this man,0
The man is happy,0
I terrible this man,1
The man is idiot,1
I beautiful this boy,0
The boy is good,0
I ugly this boy,1
The boy is hate,1
I happy this person,0
The person is great,0
I ugly this person,1
The person is idiot,1
I happy this guy,0
The guy is great,0
I bad this guy,1
The guy is bad,1
I love this man,0
The man is love,0
I ugly this man,1
The man is idiot,1
I love this boy,0
The boy is beautiful,0
I ugly this boy,1
The boy is terrible,1
I great this person,0
The person is love,0
I bad this person,1
The person is stupid,1
I happy this guy,0
The guy is beautiful,0
I hate this guy,1
The guy is stupid,1
I happy this man,0
The man is beautiful,0
I ugly this man,1
The man is bad,1
I happy this boy,0
The boy is nice,0
I terrible this boy,1
The boy is bad,1
I good this person,0
The person is beautiful,0
I bad this person,1
The person is ugly,1
I happy this guy,0
The guy is love,0
I idiot this guy,1
The guy is stupid,1
I good this man,0
The man is good,0
I stupid this man,1
The man is stupid,1
I good this boy,0
The boy is beautiful,0
I terrible this boy,1
The boy is terrible,1
I nice this person,0
The person is happy,0
I hate this person,1
The person is stupid,1
I great this guy,0
The guy is love,0
I hate this guy,1
The guy is bad,1
I good this man,0
The man is good,0
I ugly this man,1
The man is ugly,1
I love this boy,0
The boy is great,0
I ugly this boy,1
The boy is idiot,1
I nice this person,0
The person is love,0
I idiot this person,1
The person is terrible,1
I good this guy,0
The guy is happy,0
I terrible this guy,1
The guy is bad,1
I love this man,0
The man is nice,0
I stupid this man,1
The man is hate,1
I beautiful this boy,0
The boy is good,0
I stupid this boy,1
The boy is stupid,1
I good this person,0
The person is great,0
I ugly this person,1
The person is idiot,1
I love this guy,0
The guy is good,0
I idiot this guy,1
The guy is stupid,1
I nice this man,0
The man is good,0
I terrible this man,1
The man is ugly,1
I nice this boy,0
The boy is nice,0
I hate this boy,1
The boy is terrible,1
I beautiful this person,0
The person is great,0
I hate this person,1
The person is bad,1
I good this guy,0
The guy is nice,0
I bad this guy,1
The guy is hate,1
I love this man,0
The man is good,0
I stupid this man,1
The man is stupid,1
I beautiful this boy,0
The boy is good,0
I bad this boy,1
The boy is bad,1
I love this person,0
The person is good,0
I stupid this person,1
The person is bad,1
I good this guy,0
The guy is good,0
I ugly this guy,1
The guy is stupid,1
I great this man,0
The man is beautiful,0
I terrible this man,1
The man is terrible,1
I good this boy,0
The boy is happy,0
I bad this boy,1
The boy is stupid,1
I great this person,0
The person is good,0
I hate this person,1
The person is idiot,1
I love this guy,0
The guy is good,0
I stupid this guy,1
The guy is terrible,1
I nice this man,0
The man is beautiful,0
I hate this man,1
The man is idiot,1
I great this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is ugly,1
I happy this person,0
The person is great,0
I stupid this person,1
The person is bad,1
I beautiful this guy,0
The guy is happy,0
I ugly this guy,1
The guy is hate,1
I love this man,0
The man is happy,0
I terrible this man,1
The man is idiot,1
I good this boy,0
The boy is beautiful,0
I terrible this boy,1
The boy is hate,1
I happy this person,0
The person is good,0
I terrible this person,1
The person is idiot,1
I good this guy,0
The guy is good,0
I bad this guy,1
The guy is stupid,1
I nice this man,0
The man is good,0
I hate this man,1
The man is idiot,1
I happy this boy,0
The boy is great,0
I bad this boy,1
The boy is idiot,1
I nice this person,0
The person is happy,0
I stupid this person,1
The person is ugly,1
I love this guy,0
The guy is happy,0
I ugly this guy,1
The guy is idiot,1
I good this man,0
The man is beautiful,0
I idiot this man,1
The man is stupid,1
I nice this boy,0
The boy is love,0
I idiot this boy,1
The boy is terrible,1
I great this person,0
The person is great,0
I hate this person,1
The person is ugly,1
I nice this guy,0
The guy is happy,0
I terrible this guy,1
The guy is idiot,1
I nice this man,0
The man is great,0
I ugly this man,1
The man is stupid,1
I beautiful this boy,0
The boy is nice,0
I hate this boy,1
The boy is terrible,1
I love this person,0
The person is great,0
I bad this person,1
The person is ugly,1
I nice this guy,0
The guy is happy,0
I bad this guy,1
The guy is stupid,1
I nice this man,0
The man is love,0
I stupid this man,1
The man is bad,1
I beautiful this boy,0
The boy is happy,0
I stupid this boy,1
The boy is hate,1
I good this person,0
The person is great,0
I ugly this person,1
The person is bad,1
I great this guy,0
The guy is good,0
I hate this guy,1
The guy is ugly,1
I happy this man,0
The man is nice,0
I bad this man,1
The man is bad,1
I great this boy,0
The boy is love,0
I ugly this boy,1
The boy is bad,1
I nice this person,0
The person is happy,0
I stupid this person,1
The person is terrible,1
I great this guy,0
The guy is good,0
I terrible this guy,1
The guy is hate,1
I beautiful this man,0
The man is great,0
I idiot this man,1
The man is stupid,1
I happy this boy,0
The boy is nice,0
I stupid this boy,1
The boy is stupid,1
I nice this person,0
The person is great,0
I ugly this person,1
The person is ugly,1
I love this guy,0
The guy is happy,0
I ugly this guy,1
The guy is idiot,1
I beautiful this man,0
The man is good,0
I bad this man,1
The man is idiot,1
I nice this boy,0
The boy is love,0
I stupid this boy,1
The boy is stupid,1
I love this person,0
The person is great,0
I hate this person,1
The person is bad,1
I good this guy,0
The guy is happy,0
I stupid this guy,1
The guy is idiot,1
I nice this man,0
The man is great,0
I bad this man,1
The man is hate,1
I beautiful this boy,0
The boy is happy,0
I bad this boy,1
The boy is stupid,1
I happy this person,0
The person is love,0
I bad this person,1
The person is idiot,1
I good this guy,0
The guy is love,0
I stupid this guy,1
The guy is idiot,1
I good this man,0
The man is love,0
I stupid this man,1
The man is terrible,1
I love this boy,0
The boy is beautiful,0
I stupid this boy,1
The boy is hate,1
I happy this person,0
The person is good,0
I hate this person,1
The person is stupid,1
I great this guy,0
The guy is good,0
I idiot this guy,1
The guy is idiot,1
I great this man,0
The man is love,0
I hate this man,1
The man is stupid,1
I good this boy,0
The boy is happy,0
I stupid this boy,1
The boy is terrible,1
I nice this person,0
The person is love,0
I hate this person,1
The person is bad,1
I great this guy,0
The guy is happy,0
I bad this guy,1
The guy is idiot,1
I beautiful this man,0
The man is good,0
I terrible this man,1
The man is stupid,1
I nice this boy,0
The boy is beautiful,0
I ugly this boy,1
The boy is bad,1
I happy this person,0
The person is great,0
I bad this person,1
The person is ugly,1
I happy this guy,0
The guy is nice,0
I hate this guy,1
The guy is hate,1
I nice this man,0
The man is happy,0
I stupid this man,1
The man is bad,1
I great this boy,0
The boy is beautiful,0
I terrible this boy,1
The boy is ugly,1
I good this person,0
The person is beautiful,0
I stupid this person,1
The person is ugly,1
I good this guy,0
The guy is happy,0
I stupid this guy,1
The guy is stupid,1
I love this man,0
The man is nice,0
I hate this man,1
The man is terrible,1
I happy this boy,0
The boy is happy,0
I ugly this boy,1
The boy is idiot,1
I happy this person,0
The person is great,0
I idiot this person,1
The person is idiot,1
I great this guy,0
The guy is love,0
I stupid this guy,1
The guy is idiot,1
I love this man,0
The man is love,0
I stupid this man,1
The man is idiot,1
I love this boy,0
The boy is nice,0
I hate this boy,1
The boy is ugly,1
I nice this person,0
The person is good,0
I idiot this person,1
The person is hate,1
I happy this guy,0
The guy is beautiful,0
I bad this guy,1
The guy is idiot,1
I beautiful this man,0
The man is love,0
I stupid this man,1
The man is terrible,1
I love this boy,0
The boy is great,0
I bad this boy,1
The boy is terrible,1
I happy this person,0
The person is love,0
I bad this person,1
The person is terrible,1
I happy this guy,0
The guy is nice,0
I hate this guy,1
The guy is stupid,1
I nice this man,0
The man is happy,0
I terrible this man,1
The man is terrible,1
I good this boy,0
The boy is good,0
I hate this boy,1
The boy is ugly,1
I good this person,0
The person is nice,0
I terrible this person,1
The person is ugly,1
I beautiful this guy,0
The guy is good,0
I terrible this guy,1
The guy is ugly,1
I happy this man,0
The man is beautiful,0
I stupid this man,1
The man is bad,1
I good this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is idiot,1
I good this person,0
The person is good,0
I terrible this person,1
The person is bad,1
I love this guy,0
The guy is good,0
I idiot this guy,1
The guy is ugly,1
I love this man,0
The man is beautiful,0
I idiot this man,1
The man is idiot,1
I great this boy,0
The boy is nice,0
I stupid this boy,1
The boy is hate,1
I nice this person,0
The person is love,0
I stupid this person,1
The person is terrible,1
I beautiful this guy,0
The guy is nice,0
I terrible this guy,1
The guy is idiot,1
I good this man,0
The man is nice,0
I ugly this man,1
The man is stupid,1
I love this boy,0
The boy is love,0
I ugly this boy,1
The boy is terrible,1
I beautiful this person,0
The person is love,0
I hate this person,1
The person is idiot,1
I happy this guy,0
The guy is good,0
I terrible this guy,1
The guy is terrible,1
I great this man,0
The man is nice,0
I bad this man,1
The man is idiot,1
I beautiful this boy,0
The boy is beautiful,0
I terrible this boy,1
The boy is terrible,1
I great this person,0
The person is great,0
I hate this person,1
The person is idiot,1
I happy this guy,0
The guy is love,0
I terrible this guy,1
The guy is hate,1
I happy this man,0
The man is great,0
I idiot this man,1
The man is bad,1
I great this boy,0
The boy is beautiful,0
I hate this boy,1
The boy is bad,1
I good this person,0
The person is good,0
I stupid this person,1
The person is stupid,1
I nice this guy,0
The guy is beautiful,0
I idiot this guy,1
The guy is idiot,1
I beautiful this man,0
The man is great,0
I terrible this man,1
The man is idiot,1
I great this boy,0
The boy is great,0
I idiot this boy,1
The boy is ugly,1
I good this person,0
The person is happy,0
I stupid this person,1
The person is stupid,1
I love this guy,0
The guy is nice,0
I ugly this guy,1
The guy is bad,1
I great this man,0
The man is love,0
I idiot this man,1
The man is stupid,1
I good this boy,0
The boy is great,0
I hate this boy,1
The boy is stupid,1
I great this person,0
The person is love,0
I ugly this person,1
The person is hate,1
I good this guy,0
The guy is beautiful,0
I hate this guy,1
The guy is hate,1
I beautiful this man,0
The man is good,0
I stupid this man,1
The man is bad,1
I nice this boy,0
The boy is nice,0
I idiot this boy,1
The boy is ugly,1
I great this person,0
The person is beautiful,0
I ugly this person,1
The person is hate,1
I love this guy,0
The guy is great,0
I stupid this guy,1
The guy is hate,1
I love this man,0
The man is great,0
I ugly this man,1
The man is hate,1
I great this boy,0
The boy is love,0
I ugly this boy,1
The boy is stupid,1
I beautiful this person,0
The person is nice,0
I idiot this person,1
The person is terrible,1
I good this guy,0
The guy is great,0
I stupid this guy,1
The guy is bad,1
I nice this man,0
The man is beautiful,0
I idiot this man,1
The man is terrible,1
I good this boy,0
The boy is happy,0
I ugly this boy,1
The boy is terrible,1
I good this person,0
The person is happy,0
I ugly this person,1
The person is ugly,1
I great this guy,0
The guy is happy,0
I ugly this guy,1
The guy is hate,1
I good this man,0
The man is good,0
I terrible this man,1
The man is stupid,1
I beautiful this boy,0
The boy is nice,0
I stupid this boy,1
The boy is terrible,1
I good this person,0
The person is love,0
I terrible this person,1
The person is hate,1
I beautiful this guy,0
The guy is happy,0
I bad this guy,1
The guy is ugly,1
I beautiful this man,0
The man is great,0
I hate this man,1
The man is stupid,1
I beautiful this boy,0
The boy is nice,0
I idiot this boy,1
The boy is bad,1
I great this person,0
The person is love,0
I hate this person,1
The person is stupid,1
I love this guy,0
The guy is beautiful,0
I bad this guy,1
The guy is idiot,1
I nice this man,0
The man is happy,0
I ugly this man,1
The man is bad,1
I happy this boy,0
The boy is great,0
I hate this boy,1
The boy is terrible,1
I beautiful this person,0
The person is love,0
I idiot this person,1
The person is bad,1
I love this guy,0
The guy is love,0
I bad this guy,1
The guy is bad,1
I good this man,0
The man is love,0
I ugly this man,1
The man is stupid,1
I love this boy,0
The boy is good,0
I idiot this boy,1
The boy is ugly,1
I nice this person,0
The person is great,0
I stupid this person,1
The person is bad,1
I great this guy,0
The guy is love,0
I hate this guy,1
The guy is bad,1
I great this man,0
The man is great,0
I hate this man,1
The man is bad,1
I love this boy,0
The boy is beautiful,0
I hate this boy,1
The boy is stupid,1
I beautiful this person,0
The person is good,0
I bad this person,1
The person is idiot,1
I nice this guy,0
The guy is beautiful,0
I stupid this guy,1
The guy is hate,1
I great this man,0
The man is love,0
I stupid this man,1
The man is terrible,1
I beautiful this boy,0
The boy is love,0
I terrible this boy,1
The boy is idiot,1
I good this person,0
The person is beautiful,0
I idiot this person,1
The person is ugly,1
I beautiful this guy,0
The guy is nice,0
I bad this guy,1
The guy is idiot,1
I nice this man,0
The man is love,0
I hate this man,1
The man is ugly,1
I love this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is terrible,1
I beautiful this person,0
The person is beautiful,0
I stupid this person,1
The person is ugly,1
I good this guy,0
The guy is beautiful,0
I hate this guy,1
The guy is stupid,1
I beautiful this man,0
The man is good,0
I idiot this man,1
The man is ugly,1
I great this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is ugly,1
I beautiful this person,0
The person is beautiful,0
I ugly this person,1
The person is hate,1
I great this guy,0
The guy is good,0
I hate this guy,1
The guy is bad,1
I great this man,0
The man is love,0
I terrible this man,1
The man is hate,1
I nice this boy,0
The boy is happy,0
I terrible this boy,1
The boy is bad,1
I beautiful this person,0
The person is nice,0
I ugly this person,1
The person is idiot,1
I good this guy,0
The guy is happy,0
I ugly this guy,1
The guy is ugly,1
I beautiful this man,0
The man is beautiful,0
I ugly this man,1
The man is ugly,1
I great this boy,0
The boy is good,0
I terrible this boy,1
The boy is bad,1
I beautiful this person,0
The person is beautiful,0
I hate this person,1
The person is hate,1
I beautiful this guy,0
The guy is beautiful,0
I stupid this guy,1
The guy is stupid,1
I beautiful this man,0
The man is great,0
I terrible this man,1
The man is hate,1
I good this boy,0
The boy is great,0
I stupid this boy,1
The boy is bad,1
I love this person,0
The person is happy,0
I bad this person,1
The person is idiot,1
I good this guy,0
The guy is happy,0
I hate this guy,1
The guy is terrible,1
I great this man,0
The man is happy,0
I terrible this man,1
The man is idiot,1
I love this boy,0
The boy is nice,0
I stupid this boy,1
The boy is idiot,1
I nice this person,0
The person is great,0
I stupid this person,1
The person is bad,1
I beautiful this guy,0
The guy is love,0
I terrible this guy,1
The guy is terrible,1
I good this man,0
The man is happy,0
I idiot this man,1
The man is idiot,1
I love this boy,0
The boy is happy,0
I terrible this boy,1
The boy is hate,1
I love this person,0
The person is nice,0
I ugly this person,1
The person is stupid,1
I nice this guy,0
The guy is beautiful,0
I hate this guy,1
The guy is idiot,1
I beautiful this man,0
The man is love,0
I ugly this man,1
The man is bad,1
I beautiful this boy,0
The boy is happy,0
I bad this boy,1
The boy is bad,1
I beautiful this person,0
The person is happy,0
I idiot this person,1
The person is terrible,1
I nice this guy,0
The guy is love,0
I hate this guy,1
The guy is stupid,1
I great this man,0
The man is great,0
I terrible this man,1
The man is hate,1
I great this boy,0
The boy is beautiful,0
I bad this boy,1
The boy is hate,1
I nice this person,0
